chats,1,2,3,4,5
catjam,0,0,0,0,1
wwwwwwwwwwwwwwww,0,0,0,0,1
omg,0,0,0,0,1
whats up joe,0,0,0,0,1
www,0,0,0,0,1
is she streaming today,0,0,0,0,1
yayayayayayayayayayayayayayay,0,0,0,0,1
hiiiii,0,0,0,0,1
lava lamp,0,0,0,0,1
catjam,0,0,0,0,1
jooooooooeeeeeeeeeeeee,0,0,0,0,1
joe,0,0,0,0,1
catjam,0,0,0,0,1
w,0,0,0,0,1
heyyyy,0,0,0,0,1
wwww,0,0,0,0,1
boe jary,0,0,0,0,1
how was ur break,0,0,0,0,1
catjam,0,0,0,0,1
yees w,0,0,0,0,1
joeeeeeeeeeeeeeeee,0,0,0,0,1
wwwwww,0,0,0,0,1
joeeeeee,0,0,0,0,1
ddasdsd,0,0,0,0,1
w,0,0,0,0,1
yeahhhh,0,0,0,0,1
hey,0,0,0,0,1
bartman,0,0,0,0,1
catjam catjam catjam,0,0,0,0,1
ugly ass,0,0,0,0,1
w return of joe vart,0,0,0,0,1
joey bart,0,0,0,0,1
joeeeeeeeeee,0,0,0,0,1
helo,0,0,0,0,1
w,0,0,0,0,1
hi joe,0,0,0,0,1
heyy joeee,0,0,0,0,1
joee,0,0,0,0,1
catjam catjam catjam catjam catjam catjam,0,0,0,0,1
yooo a lava lamp,0,0,0,0,1
boe jart,0,0,0,0,1
lets goooooo,0,0,0,0,1
hi,0,0,0,0,1
ww,0,0,0,0,1
w,0,0,0,0,1
w joe bartholimule,0,0,0,0,1
joeeeeyy,0,0,0,0,1
hi joe,0,0,0,0,1
catjam,0,0,0,0,1
jooeeeeeeeee,0,0,0,0,1
catjam,0,0,0,0,1
joes lookin happy today,0,0,0,0,1
catjam,0,0,0,0,1
w lamp,0,0,0,0,1
guess his dead,0,0,0,0,1
joe bart,0,0,0,0,1
catjam catjam catjam catjam catjam catjam catjam,0,0,0,0,1
song was worth,0,0,0,0,1
sign,0,0,0,0,1
lava lamp,0,0,0,0,1
wwww,0,0,0,0,1
catjam,0,0,0,0,1
ww joeee,0,0,0,0,1
hi joe,0,0,0,0,1
catjam,0,0,0,0,1
w,0,0,0,0,1
vibe vibe vibe,0,0,0,0,1
hey joe first stream,0,0,0,0,1
catjam,0,0,0,0,1
catjam,0,0,0,0,1
omg its joe,0,0,0,0,1
finally back,0,0,0,0,1
catjam,0,0,0,0,1
catjam,0,0,0,0,1
wwwwwwww,0,0,0,0,1
w,0,0,0,0,1
w w w,0,0,0,0,1
dang joe taking long to pick song,0,0,0,0,1
joebartolozzi is now live streaming just chatting im back rants from trip then fortval reacts tomorrow,0,0,0,0,1
joeeee,0,0,0,0,1
lava lamp looks awesome,0,0,0,0,1
hoiii,0,0,0,0,1
hope ur holidays went well,0,0,0,0,1
catjam,0,0,0,0,1
joeeee,0,0,0,0,1
yoooo,0,0,0,0,1
joe,0,0,0,0,1
joey bartjoey bart,0,0,0,0,1
joeeee,0,0,0,0,1
hi joe how are you doing,0,0,0,0,1
vibe vibe vibe vibe,0,0,0,0,1
lava lamp,0,0,0,0,1
nice lava lamp,0,0,0,0,1
joebartwebelieve joebartwebelieve,0,0,1,0,0
ww,0,0,1,0,0
i cried everyday without you,0,0,1,0,0
joeeeee,0,0,1,0,0
been too long,0,0,1,0,0
cant be for to much today cause its am in lithuania,0,0,1,0,0
joere,0,0,1,0,0
joooeeeeeeeee,0,0,1,0,0
ok buddy,0,0,1,0,0
noti gangggg,0,0,1,0,0
joebartbusiness,1,0,0,0,0
galexiq,1,0,0,0,0
ive missed ur streams bro ive been so bored,1,0,0,0,0
i love joeyy,1,0,0,0,0
